
 Data Alignment: None
 Data Alignment Step: 0
C:\Users\Labuser\Documents\Octet experiments\2020\20200514 - AMC PCT media run3 kinetics 47-54, 200514_001.frd, 200514_002.frd, 200514_003.frd, 200514_004.frd, 200514_005.frd, 200514_006.frd, 200514_007.frd, 200514_008.frd, 200514_009.frd, 200514_010.frd, 200514_011.frd, 200514_012.frd, 200514_013.frd, 200514_014.frd, 200514_015.frd, 200514_016.frd, 
X Values, A2, B2, C2, D2, E2, F2, G2, H2, A3, B3, C3, D3, E3, F3, G3, H3, 
0.00, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 
0.20, -0.00091494, -0.00181841, 0.00162724, 0.00374549, -0.00140912, 0.00102356, -0.00469335, 0.00366101, -0.00606954, -0.00341275, -0.00058304, -0.00717467, -0.00144663, -0.00057716, -0.00277142, -0.0029858, 
0.41, -0.00068992, -0.00338699, -0.00025447, -0.00077909, -0.00257643, -0.0001368, -0.00002822, 0.00118041, -0.00923521, -0.00292267, -0.00424204, -0.00951232, 0.00289173, -0.00252183, -0.00206329, -0.00318574, 
0.61, 0.0014213, -0.00548027, -0.00122432, 0.00839365, 0.00128367, -0.00162874, 0.00114443, 0.0004515, -0.00732569, -0.00400811, -0.00759623, -0.01062828, -0.00008986, 0.00084234, -0.00744003, 0.0018028, 
0.81, -0.00128534, 0.00194693, 0.00434053, 0.00323167, 0.00016554, -0.00183508, -0.00134238, 0.00178981, -0.00774381, -0.00568056, -0.00514917, -0.00476841, 0.00045732, -0.00334844, -0.00121308, -0.00080618, 
1.00, -0.00172004, -0.00108149, 0.00088868, 0.00558955, 0.0048277, 0.00251602, -0.00111841, -0.00168738, -0.00720151, -0.00554122, -0.00728052, -0.00855212, -0.00512595, -0.00109835, -0.00141981, 0.00006175, 
1.20, 0.00090501, -0.00118159, -0.00094045, 0.00620314, 0.00198547, -0.00307719, -0.00079004, 0.00160974, -0.0085966, -0.00022992, -0.00795384, -0.00258042, 0.00023988, -0.00364256, -0.0039766, -0.00057104, 
1.40, 0.00182727, 0.00253638, -0.00282525, 0.00348587, 0.00075103, 0.00227356, -0.00313509, 0.00433224, -0.00784304, -0.00440924, -0.00904198, -0.00691751, -0.00394896, -0.00448092, -0.00045633, -0.00592142, 
1.61, 0.00023883, 0.00045197, 0.00038985, 0.00247206, 0.00028222, -0.0023582, 0.00154072, -0.00179942, -0.00459664, -0.00346487, -0.00376453, -0.00717263, -0.0020425, -0.00526446, -0.00335773, 0.00024064, 
1.81, 0.00116373, -0.00284073, 0.0010624, 0.0044625, 0.00190965, 0.00068719, 0.00315165, 0.00123931, -0.00750009, 0.00009863, -0.0065487, -0.00670409, -0.00270315, -0.00398208, -0.00177748, -0.00067169, 
2.00, -0.00127617, -0.00495035, 0.00091724, 0.00200179, 0.0007123, -0.00255961, 0.00296504, 0.00673694, -0.00889068, -0.00177652, -0.00657145, -0.00917677, -0.00185345, -0.0036508, -0.00263078, -0.00091098, 
2.20, 0.00409057, 0.0009143, -0.0009079, 0.00327203, -0.00080473, 0.00367538, 0.00163997, -0.00020894, -0.01033226, -0.00594895, -0.00389738, -0.00813497, -0.00358675, -0.00889022, -0.00248248, -0.00189417, 
2.40, -0.00140276, 0.00076107, 0.00159725, 0.00433964, -0.00248986, -0.00351116, 0.00497932, 0.0010922, -0.00816568, -0.00328586, -0.00446379, -0.00724782, -0.00339257, -0.0026755, -0.00806865, 0.00029576, 
2.60, 0.00126962, 0.00069777, 0.00154453, 0.00287988, -0.00106254, -0.00117776, -0.00242587, -0.00289101, -0.00924899, -0.0030106, -0.00603151, -0.00933216, -0.00195903, -0.00117428, 0.00115281, -0.00233426, 
2.80, 0.00094271, -0.0045886, -0.00072702, 0.00527063, 0.00066913, -0.00174383, 0.00189049, -0.00096993, -0.00421956, -0.00343439, -0.00586723, -0.00476212, 0.0004578, -0.00436069, -0.00728572, 0.0062268, 
3.00, 0.00055858, -0.00108144, -0.00221835, 0.00124243, 0.00098952, 0.00106145, -0.00238819, -0.00126712, -0.00940549, -0.00453089, -0.0037221, -0.01145843, -0.00594948, -0.00501469, -0.00413485, -0.00241331, 
3.20, -0.00174234, -0.00052765, -0.00133841, 0.00240884, -0.00070699, 0.00015195, 0.0019469, -0.00549486, -0.01257346, -0.00536541, -0.00721775, -0.01044771, -0.00201226, -0.00274999, 0.00217619, -0.00270816, 
3.41, 0.00228749, -0.00387713, -0.00303128, 0.00548315, -0.00237167, -0.00171837, -0.00717641, 0.0038439, -0.00896076, -0.00247725, -0.00745737, -0.00634214, -0.00492317, -0.00596558, -0.00079573, -0.0048186, 
3.61, -0.00095435, -0.00159718, -0.00039987, 0.0034733, -0.00236503, -0.00199429, 0.00071412, 0.00035958, -0.00850696, -0.00797046, -0.00555094, -0.00900438, -0.00342458, -0.00852713, -0.00336237, -0.00164274, 
3.80, -0.00532859, 0.00021044, -0.00048344, 0.0043268, 0.00117497, -0.00313544, 0.00111509, 0.00010769, -0.00787378, -0.00626377, -0.00464103, -0.0083373, -0.00057007, -0.00489112, -0.00398262, -0.00615857, 
4.00, -0.00018193, -0.00030222, 0.00095453, 0.00176173, 0.00073574, 0.00000568, -0.0056583, -0.00311843, -0.00868828, -0.00704, -0.00630206, -0.00496555, -0.00096833, -0.00572808, -0.00064363, -0.00204811, 
4.20, 0.00054052, -0.00014628, -0.00251187, 0.00269988, 0.00009016, -0.00315187, -0.00023425, 0.00175835, -0.01001401, -0.00706036, -0.01031459, -0.0092733, -0.00267507, -0.00572693, -0.00328295, 0.00268992, 
4.40, -0.0005911, -0.00111345, -0.00205814, 0.00276175, -0.00257044, -0.00015195, -0.00400546, -0.00238509, -0.01017214, -0.00253486, -0.00813697, -0.00554425, -0.00224625, -0.00498814, -0.00189381, 0.00069083, 
4.61, 0.0002447, -0.00196985, -0.00296389, 0.00464917, -0.00111165, -0.00281963, -0.00213009, 0.00092021, -0.00655596, -0.00315094, -0.00442168, -0.00981769, -0.00278542, -0.00578694, -0.00181791, 0.00055878, 
4.81, -0.00288673, -0.00125566, 0.00203818, 0.00198005, -0.00353865, -0.00391686, -0.00012876, 0.00001905, -0.00681508, -0.00452108, -0.00457795, -0.00736386, -0.00211173, -0.00439555, -0.0015895, 0.00467944, 
5.01, -0.00204274, 0.00190549, -0.00222311, 0.0066524, 0.00182761, -0.00202927, 0.00053185, -0.00106525, -0.00902757, -0.00622235, -0.00829378, -0.00991905, -0.00406891, -0.00829114, 0.00338244, 0.00008087, 
5.20, -0.00213968, -0.00081769, -0.00279945, 0.00429759, 0.00153902, -0.0026236, -0.00378222, -0.00247114, -0.01127383, -0.00477769, -0.00594172, -0.00522271, -0.00221927, -0.00700924, -0.00200203, -0.00435913, 
5.40, 0.000259, -0.00369121, 0.0002853, 0.00070977, -0.00113052, -0.00168845, 0.00070071, -0.00243043, -0.00773192, -0.00393723, -0.01074855, -0.0094366, -0.00525014, -0.00539018, -0.00137542, 0.00039113, 
5.60, 0.00235822, -0.0006458, -0.00091415, 0.00115902, -0.0025593, 0.00019306, -0.00205102, -0.0011058, -0.01128571, -0.00479201, -0.00484252, -0.00789371, -0.00225511, -0.00217098, -0.00645875, -0.00008566, 
5.80, -0.00053004, -0.00024982, -0.00091344, 0.00687396, -0.00237707, -0.00416394, -0.00023534, 0.00177037, -0.01343224, -0.00298236, -0.00519636, -0.01023138, -0.00197308, -0.00546233, 0.00259071, -0.00154875, 
6.00, -0.00405983, -0.00403414, 0.00210942, -0.00206919, -0.00493877, -0.00442569, -0.00418622, -0.00302067, -0.01181351, -0.00016898, -0.00485296, -0.00848481, -0.00255474, -0.00601757, -0.00240006, -0.0006634, 
6.20, -0.00668547, -0.00052326, 0.00242896, 0.00679854, -0.00381542, -0.0016759, -0.00112071, 0.00085015, -0.01326766, -0.00659064, -0.00729394, -0.00813045, -0.00441758, -0.00554661, -0.0002019, -0.00058213, 
6.41, -0.00365935, -0.00415089, -0.00062871, 0.00490459, -0.00091089, -0.0044459, -0.00307718, -0.00238382, -0.01064885, -0.00733208, -0.00499547, -0.00929653, -0.0044554, -0.00521053, 0.00100374, 0.00128539, 
6.61, -0.00388797, -0.00025599, 0.00503758, 0.0048316, -0.00363368, -0.00606138, -0.00178298, -0.0028888, -0.00639198, -0.00649015, -0.00599641, -0.00939732, -0.00626967, -0.0110516, 0.00182718, 0.00096763, 
6.81, -0.00379077, -0.00276422, -0.00154344, 0.00611749, -0.00141571, -0.00410242, -0.00406658, -0.00113594, -0.01453106, -0.0047954, -0.00786192, -0.00777188, -0.0057363, -0.00457229, -0.00255186, 0.00018723, 
7.00, -0.00268572, -0.00052448, 0.00133881, 0.00536487, 0.00167757, -0.00556298, -0.00040559, 0.00120437, -0.01200571, -0.00353368, -0.00606196, -0.01091017, -0.00575336, -0.00991082, -0.00143248, 0.00054794, 
7.20, -0.00062992, 0.00161756, -0.00133735, 0.00267333, -0.00411282, -0.0024581, -0.00181048, -0.00245912, -0.00712598, -0.00800009, -0.00538945, -0.00856476, -0.00643009, -0.00682637, -0.00420108, 0.00146533, 
