time,raw_signal,step_time,step_type,step_number
7,-0.00560277,899.999011230469,Baseline,1
7.2,-0.00826151,899.999011230469,Baseline,1
10.8,-0.00598097,899.999011230469,Baseline,1
12.4,-0.00681661,899.999011230469,Baseline,1
15.4,-0.00275175,899.999011230469,Baseline,1
15.6,-0.00564562,899.999011230469,Baseline,1
16.2,-0.00754097,899.999011230469,Baseline,1
17.2,-0.0056948500000000004,899.999011230469,Baseline,1
18.8,-0.0065788,899.999011230469,Baseline,1
19.2,-0.00495148,899.999011230469,Baseline,1
22,-0.00714171,899.999011230469,Baseline,1
26.2,-0.00638229,899.999011230469,Baseline,1
26.4,-0.00705475,899.999011230469,Baseline,1
30.8,-0.00435919,899.999011230469,Baseline,1
32,-0.00614791,899.999011230469,Baseline,1
34,-0.0023235,899.999011230469,Baseline,1
34.4,-0.00634491,899.999011230469,Baseline,1
35.6,-0.00652731,899.999011230469,Baseline,1
37.2,-0.00635216,899.999011230469,Baseline,1
41.8,-0.00167392,899.999011230469,Baseline,1
42.2,-0.00707311,899.999011230469,Baseline,1
45.8,-0.00799295,899.999011230469,Baseline,1
47.2,-0.00657205,899.999011230469,Baseline,1
52.2,-0.00559229,899.999011230469,Baseline,1
52.4,-0.00963453,899.999011230469,Baseline,1
53,-0.00568869,899.999011230469,Baseline,1
54.4,-0.00920538,899.999011230469,Baseline,1
55.4,-0.00568316,899.999011230469,Baseline,1
56.4,-0.00680256,899.999011230469,Baseline,1
57.4,-0.0059786,899.999011230469,Baseline,1
59.2,-0.00591141,899.999011230469,Baseline,1
62.2,-0.00856577,899.999011230469,Baseline,1
62.4,-0.00692204,899.999011230469,Baseline,1
64,-0.00916099,899.999011230469,Baseline,1
64.8,-0.01113643,899.999011230469,Baseline,1
66.2,-0.00683168,899.999011230469,Baseline,1
68.2,-0.00409789,899.999011230469,Baseline,1
68.4,-0.00901788,899.999011230469,Baseline,1
69.4,-0.00714803,899.999011230469,Baseline,1
72.8,-0.00510323,899.999011230469,Baseline,1
73.2,-0.01226461,899.999011230469,Baseline,1
73.8,-0.00884146,899.999011230469,Baseline,1
74.6,-0.0078767,899.999011230469,Baseline,1
75.6,-0.00718596,899.999011230469,Baseline,1
76.2,-0.00758945,899.999011230469,Baseline,1
76.4,-0.00834073,899.999011230469,Baseline,1
80.2,-0.00871729,899.999011230469,Baseline,1
86.4,-0.00975451,899.999011230469,Baseline,1
88,-0.01260077,899.999011230469,Baseline,1
88.2,-0.01077797,899.999011230469,Baseline,1
90.2,-0.01210545,899.999011230469,Baseline,1
92.2,-0.01156204,899.999011230469,Baseline,1
96.4,-0.00528182,899.999011230469,Baseline,1
97.2,-0.0137907,899.999011230469,Baseline,1
100.8,-0.01009158,899.999011230469,Baseline,1
101.4,-0.00910085,899.999011230469,Baseline,1
102.2,-0.01106536,899.999011230469,Baseline,1
102.8,-0.00903471,899.999011230469,Baseline,1
103.8,-0.01063878,899.999011230469,Baseline,1
106.8,-0.0115977,899.999011230469,Baseline,1
107.2,-0.01156391,899.999011230469,Baseline,1
107.4,-0.01260608,899.999011230469,Baseline,1
112,-0.01145915,899.999011230469,Baseline,1
112.4,-0.01308249,899.999011230469,Baseline,1
115.6,-0.01201131,899.999011230469,Baseline,1
120.4,-0.01202384,899.999011230469,Baseline,1
120.6,-0.0093566,899.999011230469,Baseline,1
121.4,-0.01255393,899.999011230469,Baseline,1
124.2,-0.01169966,899.999011230469,Baseline,1
124.4,-0.01065578,899.999011230469,Baseline,1
125,-0.01176079,899.999011230469,Baseline,1
126.2,-0.01139382,899.999011230469,Baseline,1
126.8,-0.01273296,899.999011230469,Baseline,1
127.8,-0.01060912,899.999011230469,Baseline,1
129.4,-0.01154207,899.999011230469,Baseline,1
130.4,-0.01412252,899.999011230469,Baseline,1
131,-0.01256536,899.999011230469,Baseline,1
139.6,-0.01517592,899.999011230469,Baseline,1
140.8,-0.01504671,899.999011230469,Baseline,1
142,-0.01447817,899.999011230469,Baseline,1
148.6,-0.00992247,899.999011230469,Baseline,1
152.4,-0.011513550000000001,899.999011230469,Baseline,1
154.6,-0.01752628,899.999011230469,Baseline,1
156.2,-0.01259155,899.999011230469,Baseline,1
156.8,-0.01401827,899.999011230469,Baseline,1
159.8,-0.01474164,899.999011230469,Baseline,1
162,-0.0115466,899.999011230469,Baseline,1
164,-0.01698299,899.999011230469,Baseline,1
165.6,-0.01675517,899.999011230469,Baseline,1
166.4,-0.01421447,899.999011230469,Baseline,1
167,-0.01142139,899.999011230469,Baseline,1
168.4,-0.01481682,899.999011230469,Baseline,1
170,-0.01299924,899.999011230469,Baseline,1
172.6,-0.0175162,899.999011230469,Baseline,1
176,-0.01493064,899.999011230469,Baseline,1
176.4,-0.01685386,899.999011230469,Baseline,1
177.4,-0.01631563,899.999011230469,Baseline,1
178.8,-0.01458261,899.999011230469,Baseline,1
179.2,-0.01496839,899.999011230469,Baseline,1
180.6,-0.0187451,899.999011230469,Baseline,1
181.6,-0.01758362,899.999011230469,Baseline,1
181.8,-0.01370994,899.999011230469,Baseline,1
183.6,-0.01238235,899.999011230469,Baseline,1
186,-0.01330006,899.999011230469,Baseline,1
189.2,-0.01602957,899.999011230469,Baseline,1
191.6,-0.01678672,899.999011230469,Baseline,1
194.2,-0.01667336,899.999011230469,Baseline,1
198.4,-0.01711364,899.999011230469,Baseline,1
198.8,-0.01448997,899.999011230469,Baseline,1
200.8,-0.01654625,899.999011230469,Baseline,1
202.8,-0.01796647,899.999011230469,Baseline,1
205.4,-0.01551797,899.999011230469,Baseline,1
206.4,-0.01949037,899.999011230469,Baseline,1
208,-0.01940127,899.999011230469,Baseline,1
209,-0.01773087,899.999011230469,Baseline,1
210,-0.01959778,899.999011230469,Baseline,1
213.6,-0.0162251,899.999011230469,Baseline,1
217.2,-0.01905453,899.999011230469,Baseline,1
217.4,-0.01676263,899.999011230469,Baseline,1
217.8,-0.02042999,899.999011230469,Baseline,1
218.2,-0.02025962,899.999011230469,Baseline,1
220.6,-0.01835768,899.999011230469,Baseline,1
221.6,-0.01487005,899.999011230469,Baseline,1
223.6,-0.0171931,899.999011230469,Baseline,1
228.2,-0.02034732,899.999011230469,Baseline,1
228.6,-0.0192677,899.999011230469,Baseline,1
232,-0.016573,899.999011230469,Baseline,1
233.2,-0.02022362,899.999011230469,Baseline,1
234.6,-0.01754093,899.999011230469,Baseline,1
235,-0.02124108,899.999011230469,Baseline,1
237.2,-0.02328355,899.999011230469,Baseline,1
238.8,-0.01878976,899.999011230469,Baseline,1
239.2,-0.02102167,899.999011230469,Baseline,1
240.6,-0.01796252,899.999011230469,Baseline,1
242.6,-0.01970925,899.999011230469,Baseline,1
245.8,-0.01785975,899.999011230469,Baseline,1
250,-0.02139185,899.999011230469,Baseline,1
251,-0.02013879,899.999011230469,Baseline,1
253.6,-0.02217914,899.999011230469,Baseline,1
255,-0.02248385,899.999011230469,Baseline,1
255.4,-0.0219005,899.999011230469,Baseline,1
257.2,-0.02053223,899.999011230469,Baseline,1
262,-0.02279301,899.999011230469,Baseline,1
263.6,-0.0217361,899.999011230469,Baseline,1
266,-0.02291025,899.999011230469,Baseline,1
269,-0.02152831,899.999011230469,Baseline,1
269.4,-0.02246985,899.999011230469,Baseline,1
274.8,-0.02419489,899.999011230469,Baseline,1
279.2,-0.02362736,899.999011230469,Baseline,1
282.4,-0.02399692,899.999011230469,Baseline,1
284.6,-0.02223462,899.999011230469,Baseline,1
287.4,-0.02633359,899.999011230469,Baseline,1
290,-0.02093732,899.999011230469,Baseline,1
291.4,-0.02473803,899.999011230469,Baseline,1
292.4,-0.02163987,899.999011230469,Baseline,1
293.4,-0.02328503,899.999011230469,Baseline,1
294.4,-0.021402,899.999011230469,Baseline,1
300.8,-0.02719536,899.999011230469,Baseline,1
302.6,-0.02176684,899.999011230469,Baseline,1
306.2,-0.02495245,899.999011230469,Baseline,1
310.2,-0.02627524,899.999011230469,Baseline,1
313.4,-0.02762578,899.999011230469,Baseline,1
314.2,-0.02353185,899.999011230469,Baseline,1
314.6,-0.02609207,899.999011230469,Baseline,1
321.8,-0.02601806,899.999011230469,Baseline,1
325.2,-0.02899115,899.999011230469,Baseline,1
325.6,-0.03099846,899.999011230469,Baseline,1
329.2,-0.02752714,899.999011230469,Baseline,1
337.2,-0.02372586,899.999011230469,Baseline,1
337.8,-0.02859223,899.999011230469,Baseline,1
338.4,-0.02788562,899.999011230469,Baseline,1
338.8,-0.02553513,899.999011230469,Baseline,1
339.4,-0.02792477,899.999011230469,Baseline,1
341,-0.02679642,899.999011230469,Baseline,1
347,-0.0255111,899.999011230469,Baseline,1
347.6,-0.02982428,899.999011230469,Baseline,1
354.6,-0.0295942,899.999011230469,Baseline,1
355.2,-0.0246014,899.999011230469,Baseline,1
355.4,-0.02312046,899.999011230469,Baseline,1
363.8,-0.02608717,899.999011230469,Baseline,1
365.4,-0.03092708,899.999011230469,Baseline,1
366.4,-0.02798505,899.999011230469,Baseline,1
368.2,-0.02996849,899.999011230469,Baseline,1
371.2,-0.0290785,899.999011230469,Baseline,1
371.6,-0.0285742,899.999011230469,Baseline,1
375,-0.03070514,899.999011230469,Baseline,1
375.6,-0.03467131,899.999011230469,Baseline,1
376.2,-0.02576006,899.999011230469,Baseline,1
376.4,-0.02729893,899.999011230469,Baseline,1
380.4,-0.02772944,899.999011230469,Baseline,1
380.8,-0.02996445,899.999011230469,Baseline,1
381.4,-0.02797215,899.999011230469,Baseline,1
381.6,-0.02998971,899.999011230469,Baseline,1
381.8,-0.0277972,899.999011230469,Baseline,1
387.4,-0.02970555,899.999011230469,Baseline,1
390,-0.02910555,899.999011230469,Baseline,1
390.8,-0.02794586,899.999011230469,Baseline,1
391.8,-0.02735354,899.999011230469,Baseline,1
393.6,-0.03077806,899.999011230469,Baseline,1
397.6,-0.03158632,899.999011230469,Baseline,1
401.2,-0.02611998,899.999011230469,Baseline,1
401.8,-0.03230243,899.999011230469,Baseline,1
404.4,-0.03018613,899.999011230469,Baseline,1
404.8,-0.03041452,899.999011230469,Baseline,1
405.4,-0.03120369,899.999011230469,Baseline,1
406.4,-0.02965653,899.999011230469,Baseline,1
407.2,-0.0334571,899.999011230469,Baseline,1
407.8,-0.02708442,899.999011230469,Baseline,1
408.2,-0.02983792,899.999011230469,Baseline,1
412,-0.02678113,899.999011230469,Baseline,1
413,-0.03157393,899.999011230469,Baseline,1
421.4,-0.03284414,899.999011230469,Baseline,1
424.2,-0.0306876,899.999011230469,Baseline,1
425.8,-0.03052728,899.999011230469,Baseline,1
427,-0.03185159,899.999011230469,Baseline,1
429.2,-0.031763,899.999011230469,Baseline,1
429.8,-0.03105853,899.999011230469,Baseline,1
430.2,-0.03537732,899.999011230469,Baseline,1
430.8,-0.02932246,899.999011230469,Baseline,1
431,-0.03368987,899.999011230469,Baseline,1
432.4,-0.02858003,899.999011230469,Baseline,1
438.2,-0.0295798,899.999011230469,Baseline,1
439.6,-0.03025486,899.999011230469,Baseline,1
440.4,-0.03364177,899.999011230469,Baseline,1
441.2,-0.03303645,899.999011230469,Baseline,1
441.4,-0.03485926,899.999011230469,Baseline,1
441.8,-0.03232632,899.999011230469,Baseline,1
442.8,-0.03499171,899.999011230469,Baseline,1
443,-0.03188097,899.999011230469,Baseline,1
443.6,-0.03205079,899.999011230469,Baseline,1
444.8,-0.03133773,899.999011230469,Baseline,1
454,-0.03385881,899.999011230469,Baseline,1
456.4,-0.03641631,899.999011230469,Baseline,1
457.6,-0.03450457,899.999011230469,Baseline,1
461.4,-0.03148511,899.999011230469,Baseline,1
462.6,-0.0340884,899.999011230469,Baseline,1
463.2,-0.03309091,899.999011230469,Baseline,1
463.6,-0.03225639,899.999011230469,Baseline,1
464.6,-0.02948157,899.999011230469,Baseline,1
465.6,-0.03461334,899.999011230469,Baseline,1
467.6,-0.03608593,899.999011230469,Baseline,1
469.4,-0.03426686,899.999011230469,Baseline,1
471,-0.03084224,899.999011230469,Baseline,1
471.6,-0.0376283,899.999011230469,Baseline,1
472.2,-0.03450292,899.999011230469,Baseline,1
473.2,-0.03455608,899.999011230469,Baseline,1
474.2,-0.03274719,899.999011230469,Baseline,1
475.4,-0.03388039,899.999011230469,Baseline,1
477,-0.03257304,899.999011230469,Baseline,1
478.6,-0.03421325,899.999011230469,Baseline,1
481.8,-0.03385856,899.999011230469,Baseline,1
482,-0.03548296,899.999011230469,Baseline,1
483,-0.03661353,899.999011230469,Baseline,1
483.8,-0.03388489,899.999011230469,Baseline,1
486.4,-0.03372182,899.999011230469,Baseline,1
487.6,-0.0330117,899.999011230469,Baseline,1
491.2,-0.03686996,899.999011230469,Baseline,1
492.6,-0.03531606,899.999011230469,Baseline,1
499.2,-0.03880543,899.999011230469,Baseline,1
499.4,-0.03460498,899.999011230469,Baseline,1
499.6,-0.03491671,899.999011230469,Baseline,1
500.2,-0.03851353,899.999011230469,Baseline,1
501.8,-0.03379062,899.999011230469,Baseline,1
502,-0.03311281,899.999011230469,Baseline,1
502.4,-0.0330071,899.999011230469,Baseline,1
505.2,-0.03928158,899.999011230469,Baseline,1
507.2,-0.03667019,899.999011230469,Baseline,1
511.8,-0.03643291,899.999011230469,Baseline,1
512,-0.03788509,899.999011230469,Baseline,1
512.2,-0.03520415,899.999011230469,Baseline,1
516,-0.03651671,899.999011230469,Baseline,1
518.4,-0.03685186,899.999011230469,Baseline,1
520.2,-0.03427251,899.999011230469,Baseline,1
520.6,-0.04028536,899.999011230469,Baseline,1
524.6,-0.03961506,899.999011230469,Baseline,1
524.8,-0.03738091,899.999011230469,Baseline,1
525,-0.03852738,899.999011230469,Baseline,1
528,-0.03543791,899.999011230469,Baseline,1
530,-0.03551044,899.999011230469,Baseline,1
533,-0.038117,899.999011230469,Baseline,1
538,-0.04223515,899.999011230469,Baseline,1
547.4,-0.0385408,899.999011230469,Baseline,1
549,-0.04012622,899.999011230469,Baseline,1
553.2,-0.04215693,899.999011230469,Baseline,1
554.6,-0.03893407,899.999011230469,Baseline,1
556.2,-0.03724978,899.999011230469,Baseline,1
556.4,-0.03820622,899.999011230469,Baseline,1
561.2,-0.0399921,899.999011230469,Baseline,1
562,-0.04236694,899.999011230469,Baseline,1
563.6,-0.03883978,899.999011230469,Baseline,1
565,-0.04384225,899.999011230469,Baseline,1
565.4,-0.0385319,899.999011230469,Baseline,1
569.6,-0.04206273,899.999011230469,Baseline,1
570,-0.04437296,899.999011230469,Baseline,1
577,-0.04242229,899.999011230469,Baseline,1
586.2,-0.04218533,899.999011230469,Baseline,1
587,-0.04239888,899.999011230469,Baseline,1
588.2,-0.03970116,899.999011230469,Baseline,1
589.2,-0.03971945,899.999011230469,Baseline,1
591.2,-0.04209267,899.999011230469,Baseline,1
593.6,-0.04036672,899.999011230469,Baseline,1
593.8,-0.04070415,899.999011230469,Baseline,1
597.2,-0.04237739,899.999011230469,Baseline,1
600.8,-0.04312509,899.999011230469,Baseline,1
601.2,-0.03987671,899.999011230469,Baseline,1
603.8,-0.04144183,899.999011230469,Baseline,1
604.4,-0.04599547,899.999011230469,Baseline,1
605.8,-0.04273667,899.999011230469,Baseline,1
606.8,-0.04201565,899.999011230469,Baseline,1
607,-0.04137752,899.999011230469,Baseline,1
609.4,-0.04552107,899.999011230469,Baseline,1
610,-0.04195993,899.999011230469,Baseline,1
611.2,-0.04322103,899.999011230469,Baseline,1
612.4,-0.04435774,899.999011230469,Baseline,1
616,-0.0429256,899.999011230469,Baseline,1
617.2,-0.04223077,899.999011230469,Baseline,1
621,-0.04138976,899.999011230469,Baseline,1
621.4,-0.04569874,899.999011230469,Baseline,1
627.4,-0.04663379,899.999011230469,Baseline,1
629.8,-0.04171993,899.999011230469,Baseline,1
