sample,conc,dilution,replica,signal
-70,204,1,1,250636
-70,204,1,2,261639
-70,204,1,3,273930
-70,85.4,2.388758782,1,153207
-70,85.4,2.388758782,2,134738
-70,85.4,2.388758782,3,136568
-70,35.75,5.706293706,1,69110
-70,35.75,5.706293706,2,58883
-70,35.75,5.706293706,3,48991
-70,14.96,13.63636364,1,21091
-70,14.96,13.63636364,2,18930
-70,14.96,13.63636364,3,20348
-70,6.26,32.58785942,1,6946
-70,6.26,32.58785942,2,6647
-70,6.26,32.58785942,3,6602
-70,2.62,77.86259542,1,2917
-70,2.62,77.86259542,2,3020
-70,2.62,77.86259542,3,2962
-70,0,Inf,1,1223
-70,0,Inf,2,1206
-70,0,Inf,3,1392
-70,0,Inf,1,1232
-70,0,Inf,2,1345
-70,0,Inf,3,1577
-70,204,1,1,275069
-70,204,1,2,271610
-70,204,1,3,260953
-70,85.4,2.388758782,1,169439
-70,85.4,2.388758782,2,156625
-70,85.4,2.388758782,3,138098
-70,35.75,5.706293706,1,71514
-70,35.75,5.706293706,2,72620
-70,35.75,5.706293706,3,70940
-70,14.96,13.63636364,1,25582
-70,14.96,13.63636364,2,28631
-70,14.96,13.63636364,3,26490
-70,6.26,32.58785942,1,8293
-70,6.26,32.58785942,2,10536
-70,6.26,32.58785942,3,9441
-70,2.62,77.86259542,1,4536
-70,2.62,77.86259542,2,3182
-70,2.62,77.86259542,3,3495
25,,2.388758782,1,155902
25,,2.388758782,2,147516
25,,2.388758782,3,193187
25,,5.706293706,1,65847
25,,5.706293706,2,58655
25,,5.706293706,3,66836
25,,13.63636364,1,23148
25,,13.63636364,2,21041
25,,13.63636364,3,26044
25,,2.388758782,1,159880
25,,2.388758782,2,146501
25,,2.388758782,3,189624
25,,5.706293706,1,54041
25,,5.706293706,2,65749
25,,5.706293706,3,52253
25,,13.63636364,1,19598
25,,13.63636364,2,17693
25,,13.63636364,3,19891
37,,2.388758782,1,183452
37,,2.388758782,2,162118
37,,2.388758782,3,144831
37,,5.706293706,1,60282
37,,5.706293706,2,61421
37,,5.706293706,3,65465
37,,13.63636364,1,23027
37,,13.63636364,2,23662
37,,13.63636364,3,23861
37,,2.388758782,1,171582
37,,2.388758782,2,145873
37,,2.388758782,3,123294
37,,5.706293706,1,61453
37,,5.706293706,2,60217
37,,5.706293706,3,61164
37,,13.63636364,1,28539
37,,13.63636364,2,22480
37,,13.63636364,3,20199
45,,2.388758782,1,156767
45,,2.388758782,2,168024
45,,2.388758782,3,166488
45,,5.706293706,1,64111
45,,5.706293706,2,63959
45,,5.706293706,3,71303
45,,13.63636364,1,25294
45,,13.63636364,2,22361
45,,13.63636364,3,24570
45,,2.388758782,1,169266
45,,2.388758782,2,140883
45,,2.388758782,3,170690
45,,5.706293706,1,65134
45,,5.706293706,2,67899
45,,5.706293706,3,73869
45,,13.63636364,1,23830
45,,13.63636364,2,24148
45,,13.63636364,3,27412
